Date,Open,High,Low,Close,Volume,Category,Stock,Bonus issue,Issued Shares,Market Capitalization (KES)
01/08/2016,10.05,10.3,10,10.05,85500,Banking,Absa Bank Kenya,,5431536000,54586936800
02/08/2016,10,10.2,9.9,10,369800,Banking,Absa Bank Kenya,,5431536000,54315360000
03/08/2016,10,10.1,9.8,10,31200,Banking,Absa Bank Kenya,,5431536000,54315360000
04/08/2016,10,10,9.95,10,66700,Banking,Absa Bank Kenya,,5431536000,54315360000
05/08/2016,9.85,10,9.75,9.85,142300,Banking,Absa Bank Kenya,,5431536000,53500629600
08/08/2016,9.85,10,9.75,9.85,11000,Banking,Absa Bank Kenya,,5431536000,53500629600
09/08/2016,9.85,10,9.8,9.85,136200,Banking,Absa Bank Kenya,,5431536000,53500629600
10/08/2016,9.85,10,9.8,9.85,130300,Banking,Absa Bank Kenya,,5431536000,53500629600
11/08/2016,9.9,10,9.9,9.9,183300,Banking,Absa Bank Kenya,,5431536000,53772206400
12/08/2016,9.95,10,9.9,9.95,216800,Banking,Absa Bank Kenya,,5431536000,54043783200
15/08/2016,9.9,10,9.85,9.9,67500,Banking,Absa Bank Kenya,,5431536000,53772206400
16/08/2016,9.9,10,9.85,9.9,111900,Banking,Absa Bank Kenya,,5431536000,53772206400
17/08/2016,9.85,10,9.8,9.85,9746200,Banking,Absa Bank Kenya,,5431536000,53500629600
18/08/2016,9.9,9.95,9.8,9.9,305700,Banking,Absa Bank Kenya,,5431536000,53772206400
19/08/2016,9.8,9.95,9.7,9.8,2535500,Banking,Absa Bank Kenya,,5431536000,53229052800
22/08/2016,9.85,9.95,9.7,9.85,116500,Banking,Absa Bank Kenya,,5431536000,53500629600
23/08/2016,9.85,9.95,9.85,9.85,420800,Banking,Absa Bank Kenya,,5431536000,53500629600
24/08/2016,9.7,9.95,9.6,9.7,70800,Banking,Absa Bank Kenya,,5431536000,52685899200
25/08/2016,8.85,9.7,8.75,8.85,159600,Banking,Absa Bank Kenya,,5431536000,48069093600
26/08/2016,8.55,8.95,8.4,8.55,77200,Banking,Absa Bank Kenya,,5431536000,46439632800
29/08/2016,8.7,9,8.1,8.7,28500,Banking,Absa Bank Kenya,,5431536000,47254363200
30/08/2016,9.2,9.5,8.2,9.2,336600,Banking,Absa Bank Kenya,,5431536000,49970131200
31/08/2016,9.8,10,9.5,9.8,5230600,Banking,Absa Bank Kenya,,5431536000,53229052800
01/09/2016,9.7,9.95,9.5,9.7,253500,Banking,Absa Bank Kenya,,5431536000,52685899200
02/09/2016,9.65,9.8,9.55,9.65,76500,Banking,Absa Bank Kenya,,5431536000,52414322400
05/09/2016,9.6,9.7,9.4,9.6,192300,Banking,Absa Bank Kenya,,5431536000,52142745600
06/09/2016,9.2,9.5,9.05,9.2,333400,Banking,Absa Bank Kenya,,5431536000,49970131200
07/09/2016,9,9.2,8.85,9,292800,Banking,Absa Bank Kenya,,5431536000,48883824000
08/09/2016,8.95,9,8.8,8.95,194100,Banking,Absa Bank Kenya,,5431536000,48612247200
09/09/2016,8.75,9,8.6,8.75,402300,Banking,Absa Bank Kenya,,5431536000,47525940000
13/09/2016,8.75,8.9,8.7,8.75,326400,Banking,Absa Bank Kenya,,5431536000,47525940000
14/09/2016,8.75,8.85,8.7,8.75,115400,Banking,Absa Bank Kenya,,5431536000,47525940000
15/09/2016,8.9,9,8.7,8.9,212000,Banking,Absa Bank Kenya,,5431536000,48340670400
16/09/2016,8.7,8.9,8.7,8.7,421400,Banking,Absa Bank Kenya,,5431536000,47254363200
19/09/2016,8.75,9,8.7,8.75,221300,Banking,Absa Bank Kenya,,5431536000,47525940000
20/09/2016,8.65,8.8,8.05,8.65,1248900,Banking,Absa Bank Kenya,,5431536000,46982786400
21/09/2016,8,8.8,8,8,833500,Banking,Absa Bank Kenya,,5431536000,43452288000
22/09/2016,8.1,8.55,8,8.1,227900,Banking,Absa Bank Kenya,,5431536000,43995441600
23/09/2016,8.1,8.6,8.05,8.1,94200,Banking,Absa Bank Kenya,,5431536000,43995441600
26/09/2016,8.05,8.45,8,8.05,1105800,Banking,Absa Bank Kenya,,5431536000,43723864800
27/09/2016,8,8.1,7.9,8,555000,Banking,Absa Bank Kenya,,5431536000,43452288000
28/09/2016,7.9,8,7.8,7.9,220100,Banking,Absa Bank Kenya,,5431536000,42909134400
29/09/2016,7.9,8.5,7.8,7.9,18557400,Banking,Absa Bank Kenya,,5431536000,42909134400
30/09/2016,8.15,8.5,8,8.15,94400,Banking,Absa Bank Kenya,,5431536000,44267018400
03/10/2016,8.3,8.5,8.15,8.3,579000,Banking,Absa Bank Kenya,,5431536000,45081748800
04/10/2016,8.5,8.75,8.4,8.5,278100,Banking,Absa Bank Kenya,,5431536000,46168056000
05/10/2016,8.3,8.65,8.2,8.3,108900,Banking,Absa Bank Kenya,,5431536000,45081748800
06/10/2016,8.2,8.5,8.05,8.2,168600,Banking,Absa Bank Kenya,,5431536000,44538595200
07/10/2016,8.05,8.35,8,8.05,637500,Banking,Absa Bank Kenya,,5431536000,43723864800
10/10/2016,8.05,8.3,8,8.05,57500,Banking,Absa Bank Kenya,,5431536000,43723864800
11/10/2016,8.05,8.3,8,8.05,569400,Banking,Absa Bank Kenya,,5431536000,43723864800
12/10/2016,8.1,8.2,8.05,8.1,795100,Banking,Absa Bank Kenya,,5431536000,43995441600
13/10/2016,8.15,8.2,8.1,8.15,668500,Banking,Absa Bank Kenya,,5431536000,44267018400
14/10/2016,8.15,8.3,8.1,8.15,838900,Banking,Absa Bank Kenya,,5431536000,44267018400
17/10/2016,8.15,8.3,8.15,8.15,274600,Banking,Absa Bank Kenya,,5431536000,44267018400
18/10/2016,8.05,8.25,7.9,8.05,573100,Banking,Absa Bank Kenya,,5431536000,43723864800
19/10/2016,7.95,8,7.9,7.95,154500,Banking,Absa Bank Kenya,,5431536000,43180711200
21/10/2016,8,8.25,7.9,8,340800,Banking,Absa Bank Kenya,,5431536000,43452288000
24/10/2016,8,8.25,8,8,432800,Banking,Absa Bank Kenya,,5431536000,43452288000
25/10/2016,8,8.2,8,8,553800,Banking,Absa Bank Kenya,,5431536000,43452288000
26/10/2016,7.9,8.2,7.5,7.9,396200,Banking,Absa Bank Kenya,,5431536000,42909134400
27/10/2016,8.05,8.15,8,8.05,4336000,Banking,Absa Bank Kenya,,5431536000,43723864800
28/10/2016,8.05,8.2,8.05,8.05,154800,Banking,Absa Bank Kenya,,5431536000,43723864800
31/10/2016,8.1,8.25,8,8.1,317900,Banking,Absa Bank Kenya,,5431536000,43995441600
01/11/2016,8.2,8.25,8.15,8.2,117200,Banking,Absa Bank Kenya,,5431536000,44538595200
02/11/2016,8.35,8.65,8.2,8.35,209700,Banking,Absa Bank Kenya,,5431536000,45353325600
03/11/2016,8.5,9.05,8.3,8.5,302400,Banking,Absa Bank Kenya,,5431536000,46168056000
04/11/2016,8.5,8.65,8.4,8.5,169300,Banking,Absa Bank Kenya,,5431536000,46168056000
07/11/2016,8.6,8.7,8.45,8.6,1228700,Banking,Absa Bank Kenya,,5431536000,46711209600
08/11/2016,8.6,8.7,8.6,8.6,295400,Banking,Absa Bank Kenya,,5431536000,46711209600
09/11/2016,8.5,8.7,8.45,8.5,533700,Banking,Absa Bank Kenya,,5431536000,46168056000
10/11/2016,8.6,8.7,8.5,8.6,339100,Banking,Absa Bank Kenya,,5431536000,46711209600
11/11/2016,8.6,8.7,8.5,8.6,72900,Banking,Absa Bank Kenya,,5431536000,46711209600
14/11/2016,8.7,8.8,8.6,8.7,95700,Banking,Absa Bank Kenya,,5431536000,47254363200
15/11/2016,8.85,9,8.7,8.85,219400,Banking,Absa Bank Kenya,,5431536000,48069093600
16/11/2016,8.85,9.1,8.7,8.85,151900,Banking,Absa Bank Kenya,,5431536000,48069093600
17/11/2016,8.9,9.1,8.6,8.9,968700,Banking,Absa Bank Kenya,,5431536000,48340670400
18/11/2016,8.9,9,8.8,8.9,504100,Banking,Absa Bank Kenya,,5431536000,48340670400
21/11/2016,8.95,9.1,8.9,8.95,157700,Banking,Absa Bank Kenya,,5431536000,48612247200
22/11/2016,8.85,9,8.75,8.85,48200,Banking,Absa Bank Kenya,,5431536000,48069093600
23/11/2016,8.85,8.95,8.7,8.85,942600,Banking,Absa Bank Kenya,,5431536000,48069093600
24/11/2016,9,9.2,8.85,9,1018500,Banking,Absa Bank Kenya,,5431536000,48883824000
25/11/2016,8.95,9.1,8.85,8.95,46200,Banking,Absa Bank Kenya,,5431536000,48612247200
28/11/2016,8.9,9,8.85,8.9,119800,Banking,Absa Bank Kenya,,5431536000,48340670400
29/11/2016,9,9.2,8.95,9,149000,Banking,Absa Bank Kenya,,5431536000,48883824000
30/11/2016,9.05,9.25,8.85,9.05,690100,Banking,Absa Bank Kenya,,5431536000,49155400800
01/12/2016,9,9.25,9,9,124100,Banking,Absa Bank Kenya,,5431536000,48883824000
02/12/2016,9.15,9.25,9.05,9.15,125900,Banking,Absa Bank Kenya,,5431536000,49698554400
05/12/2016,9.2,9.4,9.15,9.2,206100,Banking,Absa Bank Kenya,,5431536000,49970131200
06/12/2016,9.15,9.4,9.1,9.15,291300,Banking,Absa Bank Kenya,,5431536000,49698554400
07/12/2016,9.1,9.3,9,9.1,140000,Banking,Absa Bank Kenya,,5431536000,49426977600
08/12/2016,9.05,9.15,9,9.05,174900,Banking,Absa Bank Kenya,,5431536000,49155400800
09/12/2016,9.05,9.2,8.8,9.05,141200,Banking,Absa Bank Kenya,,5431536000,49155400800
13/12/2016,8.95,9.05,8.65,8.95,123500,Banking,Absa Bank Kenya,,5431536000,48612247200
14/12/2016,8.95,9.05,8.8,8.95,21200,Banking,Absa Bank Kenya,,5431536000,48612247200
15/12/2016,8.65,8.95,8.5,8.65,182800,Banking,Absa Bank Kenya,,5431536000,46982786400
16/12/2016,8.5,8.8,8.5,8.5,108900,Banking,Absa Bank Kenya,,5431536000,46168056000
19/12/2016,8.4,8.65,8.15,8.4,92300,Banking,Absa Bank Kenya,,5431536000,45624902400
20/12/2016,8.2,8.5,8,8.2,199400,Banking,Absa Bank Kenya,,5431536000,44538595200
21/12/2016,8,8.5,7.95,8,3510700,Banking,Absa Bank Kenya,,5431536000,43452288000
22/12/2016,8,8.2,7.9,8,378400,Banking,Absa Bank Kenya,,5431536000,43452288000
23/12/2016,8.15,8.5,8,8.15,62600,Banking,Absa Bank Kenya,,5431536000,44267018400
28/12/2016,8.45,8.95,8.2,8.45,30900,Banking,Absa Bank Kenya,,5431536000,45896479200
29/12/2016,8.85,8.95,8.5,8.85,44500,Banking,Absa Bank Kenya,,5431536000,48069093600
30/12/2016,9.1,9.7,8.65,9.1,231300,Banking,Absa Bank Kenya,,5431536000,49426977600
03/01/2017,8.75,8.95,8.45,8.75,29700,Banking,Absa Bank Kenya,,5431536000,47525940000
04/01/2017,8.9,9,8.7,8.9,19400,Banking,Absa Bank Kenya,,5431536000,48340670400
05/01/2017,8.8,9,8.7,8.8,122600,Banking,Absa Bank Kenya,,5431536000,47797516800
06/01/2017,8.75,8.95,8.65,8.75,203500,Banking,Absa Bank Kenya,,5431536000,47525940000
09/01/2017,8.6,8.75,8.5,8.6,657700,Banking,Absa Bank Kenya,,5431536000,46711209600
10/01/2017,8.5,8.6,8.4,8.5,58100,Banking,Absa Bank Kenya,,5431536000,46168056000
11/01/2017,8.5,8.9,8.35,8.5,97000,Banking,Absa Bank Kenya,,5431536000,46168056000
12/01/2017,8.3,8.45,8.15,8.3,103000,Banking,Absa Bank Kenya,,5431536000,45081748800
13/01/2017,8.15,8.4,8,8.15,69200,Banking,Absa Bank Kenya,,5431536000,44267018400
16/01/2017,8.05,8.15,7.95,8.05,239300,Banking,Absa Bank Kenya,,5431536000,43723864800
17/01/2017,7.9,8.15,7.85,7.9,4001100,Banking,Absa Bank Kenya,,5431536000,42909134400
18/01/2017,7.9,8.05,7.9,7.9,234600,Banking,Absa Bank Kenya,,5431536000,42909134400
19/01/2017,7.8,8,7.8,7.8,373200,Banking,Absa Bank Kenya,,5431536000,42365980800
20/01/2017,7.75,7.8,7.7,7.75,139200,Banking,Absa Bank Kenya,,5431536000,42094404000
23/01/2017,7.7,7.8,7.6,7.7,338000,Banking,Absa Bank Kenya,,5431536000,41822827200
24/01/2017,7.5,7.7,7.4,7.5,352200,Banking,Absa Bank Kenya,,5431536000,40736520000
25/01/2017,7.25,7.5,7.2,7.25,1040300,Banking,Absa Bank Kenya,,5431536000,39378636000
26/01/2017,7.15,7.5,7.05,7.15,8629600,Banking,Absa Bank Kenya,,5431536000,38835482400
