"Date","Sector","Stock","Close","Stock_Return","Trading_Volume","Market_Cap","Market_Cap_Lag1"
2020-12-01,"Commercial and Services","Nairobi Business Ventures",5.32,2.01396361230033,71000,2618504000,349462000
2018-09-18,"Manufacturing and Allied","Africa Mega Agricorp",14,-1.76766191764899,1000,180153736,1055186168
2023-12-04,"Agriculture","Kapchorua Tea Kenya",239.25,0.78845736036427,800,1871892000,850860000
2023-04-12,"Agriculture","Kapchorua Tea Kenya",239.25,0.732576901969814,800,1871892000,899760000
2023-01-12,"Agriculture","Kapchorua Tea Kenya",108.75,-0.704575876383568,200,850860000,1721280000
2022-03-25,"Automobiles and Accessories","Car and General (Kenya)",70,0.624154309072994,100,5614463120,1503874050
2016-08-02,"Agriculture","Kapchorua Tea Kenya",121,-0.615855506258299,700,946704000,1752576000
2023-12-05,"Agriculture","Kapchorua Tea Kenya",130,-0.609974579877481,500,1017120000,1871892000
2023-05-12,"Agriculture","Kapchorua Tea Kenya",237.5,0.602633173019113,400,1858200000,1017120000
2020-07-29,"Commercial and Services","WWP Scangroup",11.05,-0.575646910351508,100300,4775323634,8491865105
2023-08-03,"Agriculture","Kapchorua Tea Kenya",221,0.569848964215452,1100,1729104000,9.78e+08
2019-04-11,"Commercial and Services","WWP Scangroup",20.05,0.538640311948868,262300,8664727499,5056225025
2023-12-07,"Agriculture","Kapchorua Tea Kenya",239,0.52063649433025,2500,1869936000,1111008000
2023-08-02,"Agriculture","Kapchorua Tea Kenya",125,-0.518793793415168,1000,9.78e+08,1643040000
2023-05-10,"Agriculture","Kapchorua Tea Kenya",210,0.510825623765991,200,1643040000,985824000
2024-08-21,"Banking","I&M Bank",34.25,0.508395488912699,4619200,56636535553,34064602406
