"Column_Position","Original_Name","Repaired_Name","Name_Repaired"
1,"Date","Date",FALSE
2,"Open","Open",FALSE
3,"High","High",FALSE
4,"Low","Low",FALSE
5,"Close","Close",FALSE
6,"Volume","Volume",FALSE
7,"Category","Category",FALSE
8,"Stock","Stock",FALSE
9,"Bonus issue","Bonus issue",FALSE
10,"Issued Shares","Issued Shares",FALSE
11,"Market Capitalization (KES)","Market Capitalization (KES)",FALSE
12,"","Unnamed_Column_12",TRUE
13,"","Unnamed_Column_13",TRUE
14,"","Unnamed_Column_14",TRUE
15,"","Unnamed_Column_15",TRUE
16,"","Unnamed_Column_16",TRUE
