"Date","Sector","Stock","Trading_Index_Gap","Close","Market_Cap","Trading_Volume"
2016-08-04,"Agriculture","Eaagads",2,21,675297000,2300
2016-08-08,"Agriculture","Eaagads",2,20.5,659218500,1000
2016-08-16,"Agriculture","Eaagads",6,20.25,651179250,700
2016-08-22,"Agriculture","Eaagads",2,20,643140000,100
2016-09-08,"Agriculture","Eaagads",11,20,643140000,800
2016-09-20,"Agriculture","Eaagads",7,22,707454000,100
2016-09-22,"Agriculture","Eaagads",2,20,643140000,500
2016-09-28,"Agriculture","Eaagads",2,21.5,691375500,600
2016-10-03,"Agriculture","Eaagads",2,19.95,641532150,1300
2016-10-07,"Agriculture","Eaagads",4,19,610983000,400
2016-10-17,"Agriculture","Eaagads",4,20,643140000,200
2016-10-25,"Agriculture","Eaagads",3,19,610983000,15400
2016-10-31,"Agriculture","Eaagads",2,18,578826000,500
2016-11-03,"Agriculture","Eaagads",2,18.5,594904500,100
2016-11-10,"Agriculture","Eaagads",5,18.5,594904500,1400
2016-11-15,"Agriculture","Eaagads",2,18.75,602943750,100
2016-11-22,"Agriculture","Eaagads",5,18.75,602943750,1000
2016-11-24,"Agriculture","Eaagads",2,17.9,575610300,800
2016-11-28,"Agriculture","Eaagads",2,18.75,602943750,100
2016-12-05,"Agriculture","Eaagads",2,17.8,572394600,2000
2016-12-13,"Agriculture","Eaagads",2,21,675297000,1900
2016-12-21,"Agriculture","Eaagads",2,24.5,787846500,200
2016-12-30,"Agriculture","Eaagads",2,27.25,876278250,500
2017-01-06,"Agriculture","Eaagads",2,27.25,876278250,300
2017-01-11,"Agriculture","Eaagads",3,24.75,795885750,100
2017-01-16,"Agriculture","Eaagads",2,22.5,723532500,1000
2017-01-19,"Agriculture","Eaagads",3,22.5,723532500,10000
2017-01-23,"Agriculture","Eaagads",2,21,675297000,200
2017-01-31,"Agriculture","Eaagads",3,21,675297000,2500
2017-02-16,"Agriculture","Eaagads",11,21.5,691375500,1000
2017-02-23,"Agriculture","Eaagads",5,23.5,755689500,1200
2017-03-07,"Agriculture","Eaagads",4,25,803925000,100
