"Date","Sector","Sector_Cap_Lag1","Market_Weight_Daily","Equal_Weight_Daily","Capped_Market_Weight_Daily"
2016-08-02,"Agriculture",4957389120,0.00248027457241989,0.1,0.00378771068749364
2016-08-02,"Banking",567321532166,0.283841582041803,0.1,0.25
2016-08-02,"Commercial and Services",123401086320,0.0617398733889359,0.1,0.0942850363746693
2016-08-02,"Construction and Allied",4806557730,0.00240481080464131,0.1,0.00367246743059302
2016-08-02,"Energy and Petroleum",86602321912,0.0433287627320358,0.1,0.0661688103006623
2016-08-02,"Insurance",83017733498,0.041535326049818,0.1,0.0634299928470964
2016-08-02,"Investment",29739644138,0.0148793006485433,0.1,0.0227226802691979
2016-08-02,"Investment Services",5177040780,0.00259017040950274,0.1,0.00395553631505054
2016-08-02,"Manufacturing and Allied",316702631829,0.158452254953093,0.1,0.241977765775237
2016-08-02,"Telecommunication and Technology",7.77e+11,0.388747644399207,0.1,0.25
2016-08-03,"Agriculture",8530999675,0.00423600219810055,0.1,0.0066091766627034
2016-08-03,"Banking",567536611420,0.281805934247402,0.1,0.25
2016-08-03,"Commercial and Services",119894187528,0.0595325356061613,0.1,0.0928849954743249
2016-08-03,"Construction and Allied",1915480710,0.000951117196939666,0.1,0.00148397033040451
2016-08-03,"Energy and Petroleum",86389668707,0.0428961247775491,0.1,0.0669282152231453
2016-08-03,"Insurance",83087958545,0.0412566860204818,0.1,0.0643702986153591
2016-08-03,"Investment",29898004566,0.0148456239462225,0.1,0.023162724366064
2016-08-03,"Investment Services",5112165583,0.00253840645547112,0.1,0.00396052124653716
2016-08-03,"Manufacturing and Allied",310562035680,0.154207187422858,0.1,0.240600098081462
2016-08-03,"Telecommunication and Technology",8.01e+11,0.397730382128814,0.1,0.25
2016-08-04,"Agriculture",3883819200,0.00194692199801649,0.1,0.00314864631480945
2016-08-04,"Banking",567106672775,0.284285235638051,0.1,0.25
2016-08-04,"Commercial and Services",121008184514,0.0606602635803296,0.1,0.0981023973082444
2016-08-04,"Construction and Allied",2016557730,0.00101088140375,0.1,0.00163484105160328
2016-08-04,"Energy and Petroleum",60517447460,0.0303368266276867,0.1,0.0490620258344167
2016-08-04,"Insurance",87312814002,0.0437690915913943,0.1,0.0707852646804569
2016-08-04,"Investment",30054364995,0.0150659702040667,0.1,0.02436533749703
2016-08-04,"Investment Services",5151090701,0.00258219326985022,0.1,0.00417603444386723
2016-08-04,"Manufacturing and Allied",3.068e+11,0.153795951415931,0.1,0.248725452869572
2016-08-04,"Telecommunication and Technology",8.11e+11,0.406546664270925,0.1,0.25
2016-08-05,"Agriculture",3152275200,0.00160736202329686,0.111111111111111,0.00256113028627128
2016-08-05,"Banking",555454282516,0.283229116351842,0.111111111111111,0.25
2016-08-05,"Commercial and Services",119777886666,0.0610753865200869,0.111111111111111,0.0973159872481508
2016-08-05,"Energy and Petroleum",62114264002,0.0316723961987362,0.111111111111111,0.0504660007936402
2016-08-05,"Insurance",87567437087,0.0446511056049552,0.111111111111111,0.0711459504597413
2016-08-05,"Investment",30044364995,0.0153197827737352,0.111111111111111,0.0244101571843992
